Etapa,Termino,Notificacion,MacroEtapa
EJECUCION DE SENTENCIA,SE RESERVA,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN / ORDENA OFICIO,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,ALLEGA CERTIFICADO DE GRAVAMENES,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,DE CUMPLIMIENTO CON INTERLOCUTORIA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,SEÑALA BIEN PARA EMBARGO,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVIENE SEÑALE BIENES PARA EMBARGO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN CUMPLIMIENTO VOLUNTARIO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,SE PREVIENE SEÑALE BIENES PARA EMBARGO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,SE DE CUMPLIMIENTO VOLUNTARIO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,DE CUMPLIMIENTO VOLUNTARIO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVIENE PARA QUE SEÑALE BIENES,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,SE REQUIERE CUMPLIMIENTO DE SENTENCIA INTERLOCUTORIA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVIENE CUMPLIMIENTO VOLUNTARIO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCION CUMPLIMIENTO VOL.,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,CAUSA FIRMEZA INTERLOCUTORIA,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,SEÑALA BIEN PARA EMBARGO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,EXPEDIENTE A SU DISPOSICION,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCION / DESECHA,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,CAUSA EJECUTORIA-PREVENCIÓN,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,REQUIERE CUMPLIMIENTO DE SENTENCIA INTERLOCUTORIA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,SEÑALA PARA EMBARGO. ORDENA OFICIO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN DEMANDADA SEÑALE BIENES,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVIENE CUMPLIMIENTO INTERLOCUTORIA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN CUMPLIMIENTO DE CONDENA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,INICIA EJECUCION DE SENTENCIA,SOLICITADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN SEÑALE BIENES PARA EMBARGO,NO NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,REQUERIMIENTO,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EJECUCION DE SENTENCIA,EMITE PROVEIDO,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,ACREDITA SU PERSONALIDAD,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,INICIA EJECUCION DE SENTENCIA Y CAUSA EJECUTORIA,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,AUTORIZA ABOGADO/AUTORIZA TV,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,CAUSA EJECUTORIA INTERLOCUTORIA/PREVENCIÓN,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN. CUMPLA CON SENTENCIA.,,08. Proceso de ejecución
EJECUCION DE SENTENCIA,PREVENCIÓN CUMPLIMIENTO CONDENA,NOTIFICADA/TERMINADA,08. Proceso de ejecución
EXHORTOS,SE FIJA FECHA PARA PRUEBAS Y ALEGATOS,NOTIFICADA/TERMINADA,
INCIDENTES,ADMITE INCIDENTE,NOTIFICADA/TERMINADA,
INCIDENTES,ADMITE INCIDENTE,,
INCIDENTES,ADMITE INCIDENTE,NO NOTIFICADA/TERMINADA,
INCIDENTES,ADMITE INCIDENTE,SOLICITADA,
INCIDENTES,REMITE A INCIDENTE,,
INCIDENTES,DESECHA INCIDENTE,,
INCIDENTES,CADUCA INCIDENTE,,
INCIDENTES,SE ADMITE INCIDENTE. SE APERSONA.,NOTIFICADA/TERMINADA,
INCIDENTES,DECRETA CADUCIDAD,,
INCIDENTES,NO HA LUGAR,,
INCIDENTES,SE APERSONA Y ADMITE INCIDENTE,,
INCIDENTES,SE APERSONA Y ADMITE INCIDNETE,,
INCIDENTES,SE APERSONA / SE RESERVA,,
INCIDENTES,REMITE A AUTO DIVERSO.,,
INCIDENTES,REMITE A DIVERSO PROVEIDO,,
INCIDENTES,SE RESERVA,,
INCIDENTES,SE REMITE A AUTO DIVERSO.,,
INCIDENTES,DESISTE INCIDENTE,,
INCIDENTES,CADUCIDAD DE INCIDENTE,,
INCIDENTES,SE DESISTE DE INCIDENTE.,,
INCIDENTES,REMITE DIVERSO AUTO,,
INCIDENTES,CADUCIDAD,,
INCIDENTES,SE APERSONA- ADMITE INCIDENTE,,
INCIDENTES,SE APERSONA- ADMITE INCIDENTE,NOTIFICADA/TERMINADA,
INCIDENTES,PREVENCIÓN,,
INCIDENTES,INSISTE DOMICILIO,SOLICITADA,
INCIDENTES,ADMITE INCIDENTE,DILIGENCIADA/TERMINADA,
INCIDENTES,SE DICTA RESOLUCION,,
INCIDENTES,ORDENA RESOLUCION,,
INCIDENTES,APERSONA / DESECHA INCIDENTE,,
INCIDENTES,DESAHOGA VISTA,,
INCIDENTES,DESECHA DESAHOGO DE VISTA,,
INCIDENTES,CADUCA,,
INCIDENTES,DESECHA,,
INCIDENTES,SE APERSONA / ADMITE INCIDENTE,NO NOTIFICADA/TERMINADA,
INCIDENTES,ADMITE INCIDENTE. SE APERSONA,NOTIFICADA/TERMINADA,
INCIDENTES,DESECHA PETICIÓN,,
INCIDENTES,DESISTE INCIDENTE,NOTIFICADA/TERMINADA,
INCIDENTES,DESISTIMIENTO DE INCIDENTE,,
INCIDENTES,SE RESERVA.,,
INCIDENTES,ADMITE INCIDENTE / CAMBIO DE TITULAR,,
INCIDENTES,DESECHA.,,
INCIDENTES,SE DESISTE DE INCIDENTE,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA,,
INSTRUCTIVO,NOTIFICACION POR TABLA,,
INSTRUCTIVO,TABLA,,
INSTRUCTIVO,TABLA DE AVISOS,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE AVISOS,,
INSTRUCTIVO,INTRUCTIVO POR TABLA DE AVISOS,,
INSTRUCTIVO,INSTUCTIVO POR TABLA,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE AVISOS.,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE VISOS,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE AVISOS/PARTE DEMANDADA,,
INSTRUCTIVO,TABLA DE AVISO,,
INSTRUCTIVO,NOTIFICACION POR TABLA DE AVISOS,,
INSTRUCTIVO,POR TABLA,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE AVISOS DEMANDADA,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE AVISOS DEMANDADO,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA DE AVISOS PARTE ACTORA,,
INSTRUCTIVO,DOS INSTRUCTIVOS POR TABLA,,
INSTRUCTIVO,INSRUCTIVO POR TABLA,,
INSTRUCTIVO,,,
INSTRUCTIVO,DOS INSTRUCTIVOS POR TABLA DE AVISOS,,
INSTRUCTIVO,DOS TABLAS DE AVISOS,,
INSTRUCTIVO,NOTIFICACIÓN POR TABLA,,
INSTRUCTIVO,INSTRUCTIVO  POR TABLA,,
INSTRUCTIVO,NOTIFICACIÓN POR TABLA DE AVISOS,,
INSTRUCTIVO,INSTRUCTIVO POR TABLA  DE AVISOS,,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA INTERLOCUTORIA,,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE ORDENA DICTAR SENTENCIA,,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA DEFINITIVA,NOTIFICADA/TERMINADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA DEFINITIVA,,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA DEFINITIVA,NO NOTIFICADA/TERMINADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA INTERLOCUTORIA,NOTIFICADA/TERMINADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA INTERLOCUTORIA,NO NOTIFICADA/TERMINADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA INTERLOCUTORIA,SOLICITADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA DEFINITIVA,SOLICITADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE DICTA SENTENCIA INTERLOCUTORIA,DILIGENCIADA/TERMINADA,07. Juicio con sentencia
JUICIOS EN ESTADO DE SENTENCIA Y SENTENCIADOS,SE ORDENA DICTAR SENTENCIA,SOLICITADA,07. Juicio con sentencia
OFICIO,OFICIO ELECTRÓNICO ENVIADO A: GAS NATURAL MEXICO,,
OFICIO,"OFICIO ELECTRÓNICO ENVIADO A: SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, I.P.D.",,
OFICIO,OFICIO ELECTRÓNICO ENVIADO A: COMISION FEDERAL DE ELECTRICIDAD,,
OFICIO,"OF. AL REGISTRADOR PUBLICO DE LA PROPIEDAD Y DEL COMERCIO DE ESTA CIUDAD DE CADEREYTA JIMENEZ, N.L.",,
OFICIO,OFICIO NUMERO 1650-2018,,
OFICIO,OFICIO ELECTRÓNICO ENVIADO A: INSTITUTO MEXICANO DEL SEGURO SOCIAL,,
OFICIO,OFICIO ELECTRÓNICO ENVIADO A: INSTITUTO DE CONTROL VEHICULAR DEL ESTADO DE NUEVO LEÓN (ORGANISMO PÚBLICO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO),,
OFICIO,OFICIO E IDENTIFICACION,,
OFICIO,"OFICIO NUMERO 995/2020, CONSTANCIA DE RECIBIDO Y COPIA DE IDENTIFICACION",,
OFICIO,"OFICIO NUMERO 1041/2020, CONSTANCIA DE RECIBIDO Y COPIA DE IDENTIFICACION",,
OFICIO,"OFICIO NUEMRO 589/2019, CONSTANCIA DE RECIBIDO Y COPIA DE IDENTIFICACION",,
OFICIO,REMITE APELACION,,
OFICIO,ACTA DE ENTREGA DE OFICIO,,
OFICIO,ACUSE DE RECIBO DE OFICIO,,
OFICIO,OFICIO,,
OFICIO,ACUSE UMC,,
OFICIO,ENTREGA,,
OFICIO,ACUSE DE RECIBIDO,,
OFICIO,RINDE INFORME JUSTIFICADO,,
OFICIO,OFICIO 1338/2019,,
OFICIO,OFICIO 2884/2017,,
OFICIO,OFICIO 2300/2017 Y COPIA CERTIFICADA POR DUPLICADO,,
OFICIO,"OFICIOS 548/2016, 549/2016, 550/2016, 551/2016 Y 552/2016",,
OFICIO,OFICIO NUMERO 1187/2023,,
OFICIO,OFICIO NUMERO 2150/2018 Y CONSTANCIA DE RECIBIDO,,
OFICIO,OFICIO ACUSE DE RECIBIDO DE APELACION,,
OFICIO,ACUSE,,
OFICIO,OFICIO NUMERO 1749/2023,,
OFICIO,OFICIO 960/2023 CONSTANCIA DE ENVIO,,
OFICIO,OFICIO DE APELACIÓN,,
OFICIO,OFICIO ACUSE DE RECIBIDO DE INCOMPETENCIA,,
OFICIO CON EXHORTO,EXHORTO 23/2019,,
OFICIO CON EXHORTO,EXHORTO 21/2019,,
OFICIO CON EXHORTO,EXHORTO 9/2019,,
OFICIO CON EXHORTO,OFICIO INCOMPTENCIA,,
OFICIO ELECTRÓNICO,"OFICIO ELECTRÓNICO ENVIADO A: NATURGY MÉXICO, S.A. DE C.V.",,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: INSTITUTO DE CONTROL VEHICULAR DEL ESTADO DE NUEVO LEÓN (ORGANISMO PÚBLICO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO),,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: INSTITUTO DE REGISTRO CATASTRAL (REGISTRAL),,
OFICIO ELECTRÓNICO,"OFICIO ELECTRÓNICO ENVIADO A: SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, I.P.D.",,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: INSTITUTO MEXICANO DEL SEGURO SOCIAL,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: COMISION FEDERAL DE ELECTRICIDAD,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: GAS NATURAL MEXICO,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: DIRECCIÓN GENERAL DE LA AGENCIA ESTATAL DE INVESTIGACIONES,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: NOTARÍA PÚBLICA NÚMERO 89 OCHENTA Y NUEVE,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: FISCALÍA DEL ESTADO DE NUEVO LEÓN,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: COMISIÓN FEDERAL DE ELECTRICIDAD,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: AL VOCAL EJECUTIVO DEL INSTITUTO NACIONAL ELECTORAL EN EL ESTADO,,
OFICIO ELECTRÓNICO,OFICIO ELECTRÓNICO ENVIADO A: REGISTRO CIVIL,,
OFICIO ELECTRÓNICO,"OFICIO ELECTRÓNICO ENVIADO A: INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOSTRABAJADORES,",,
OTRO,ACTA DE TRIBUNAL VIRTUAL,,
OTRO,INSTRUCTIVO POR TABLA DE AVISOS,,
OTRO,"ACUSE DE RECIBIDO DE EDICTOS, COPIA DE IDENTIFICACION.",,
OTRO,EDICTO E IDENTIFICACION,,
OTRO,TABLA,,
OTRO,TABLA DE AVISO,,
OTRO,ACTA PARA TRIBUNAL VIRTUAL,,
OTRO,INCOMPARECENCIA,,
OTRO,CONSTANCIA DE DEVOLUCION DE DOCUMENTOS,,
OTRO,NOTIFICACION POR TABLA,,
OTRO,CONSTANCIAS DE DEVOLUCION DE DOCUMENTOS,,
OTRO,PLIEGOS DE POSICIONES,,
OTRO,ACTA DE TV,,
OTRO,PLIEGOS CALIFICADOS,,
OTRO,TABLA DE AVISOS,,
OTRO,POR TABLA DE AVISOS,,
OTRO,INSTRUTCIVO TABLA DE AVISOS,,
OTRO,CONSTANCIAS DE DEVOLUCION DE DOCUMENTOS.,,
OTRO,CONSTANCIA BOLETIN,,
OTRO,POR TABLA,,
OTRO,ACTA TRIBUNAL VIRTUAL,,
OTRO,INSTRUCTIVO POR TABLA,,
OTRO,SEGUNDO EDICTO,,
OTRO,PRIMER EDICTO,,
OTRO,CONSTANCIA DE BOLETIN JUDICIAL,,
OTRO,CONSTANCIA RECIBE DOCUMENTOS E IDENTIFICACION,,
OTRO,RECIBE OFICIO,,
OTRO,SOBRE Y PLIEGO DE POSICIONES,,
OTRO,CERTIFICACIÓN DE TV,,
OTRO,PLIEGO DE POSICIONES,,
OTRO,CERTIFICACIÓN DEL TV,,
OTRO,IDENTIFICACION,,
OTRO,ACTA DEVOLUCION DE DOCUMENTOS,,
OTRO,CONSTANCIAS BOLETÍN,,
OTRO,ENTREGA DE EDICTOS,,
OTRO,EDICTO BOLETIN,,
OTRO,EDICTO TABLA,,
OTRO,EDICTOS,,
OTRO,AUDIENCIA,,
OTRO,CONSTANCISD DE PUBLICACIONES DE EDICTOS,,
OTRO,ACTA COMPARECENCIA,,
OTRO,ACTA SE DIFIERE AUDIENCIA,,
OTRO,DESAHOGA AUDIENCIA,,
OTRO,CERTIFICACION,,
OTRO,OFICIO 943/2017.,,
OTRO,OFICIO 9432017,,
OTRO,RECIBE OFICIOS,,
OTRO,RECIBE OFIFCIO,,
OTRO,ACTA TV,,
OTRO,CONSTANCIA DE ENTREGA DE EDICTOS,,
OTRO,RATIFICACIÓN.,,
OTRO,CERTIFICACIÓN,,
OTRO,ACTA AUTORIZACION T.V.,,
OTRO,SEGUNDA PUBLICACIÓN,,
OTRO,ACUSE DE EDICTOS,,
OTRO,INSTRUCTIVO TABLA DE AVISOS,,
OTRO,RECIBE EDICTO,,
OTRO,ENTREGA DE COPIAS CERTIFICADAS,,
OTRO,CONSTANCIAS DE DEVOLUCIÓN DE DOCUMENTOS.,,
OTRO,INSPECCION,,
OTRO,INSTRUCTIVOS POR TABLA AVISOS,,
OTRO,INSTRUCTIVO POR TABLA AVISOS,,
OTRO,SOBRE,,
OTRO,ANEXOS,,
OTRO,INSTRUCTIVO TABLA,,
OTRO,PRIMER PUBLICACIÓN,,
OTRO,RECIBE EDICTOS,,
OTRO,INSTRUCTIVO POR ESTRADOS,,
OTRO,ACTA DEVOLUCION DE DOCUMENTOS. COPIA DE IDENTIFICACION.,,
OTRO,DESAHOGO DE AUDIENCIA,,
OTRO,CONSTANCIAS DE PUBLICACIONES DE EDICTOS,,
OTRO,EDICTO,,
OTRO,CERTIFICACION DE APELACION,,
OTRO,PRIMER PUBLICACION,,
OTRO,NOTIFICACIÓN POR ESTRADOS,,
OTRO,NOTIFICACION POR ESTRADOS,,
OTRO,ACUSE DE EDICTO,,
OTRO,RATIFICACION,,
OTRO,PRIMER EDICTO.,,
OTRO,DESAHOGA AUDIEMCIA,,
OTRO,TALA DE AVISOS,,
OTRO,PLIEGO CALIFICADO.,,
OTRO,EDICTOS TABLA,,
OTRO,ACTA DE TRIBUNAL VIRTUAL 15/06/2017,,
OTRO,EDICTO SEGUNDA PUBLICACION,,
OTRO,EDICTO PRIMERA PUBLICACION,,
OTRO,ACUSE DE EDICTO RECIBIDO,,
OTRO,INSTRUCTIVO POR TABLA DE AVISOS.,,
OTRO,COMUNICA PUBLICACIONES,,
OTRO,CONSTANCIA PUBLICACIÓN DE EDICTOS,,
OTRO,,,
OTRO,RATIFICACION.,,
OTRO,ACTA T.V,,
OTRO,BOLETIN JUDICIAL,,
OTRO,ENTREGA DE EDICTO,,
OTRO,INSTRUCTIVO POR TABALA,,
OTRO,ACTA DE ENTREGA DE EDICTO,,
OTRO,"ACTA DEVOLUCION DE DOCUMENTOS, COPIA DE IDENTIFICACION.",,
OTRO,ENTREGA EDICTOS,,
OTRO,ACUSE DE OFICIO,,
OTRO,"ACUSE DE RECIBIDO DE OFICIOS, COPIA DE IDENTIFICACION.",,
OTRO,ACTA AUTORIZACIÓN T.V.,,
OTRO,ACTA DE ENTREGA DE EDICTOS,,
OTRO,ACTA DE DEVOLUCIÓN DE DOCUMENTOS DE VALOR,,
OTRO,"RATIFICA ESCRITO, COPIA DE IDENTIFICACION",,
OTRO,CONSTANCIA DE PUBLICACIÓN DE EDICTOS,,
OTRO,COMUNICA PUBLICACIÓN DE EDICTOS,,
OTRO,AUDIENCIA DE REMATE,,
OTRO,IMAGENES DE DOCUMENTOS DE ESCRITO INICIAL,,
OTRO,IMPOSIBILIDAD,,
OTRO,ACUSE DE OFICIO. DILIGENCIA,,
OTRO,ACUSE DE OFICIO 5090/23.,,
OTRO,ACUSE DE OFICIO 5089/23.,,
OTRO,ACUSE DE OFICIO 5086/23.,,
OTRO,ACUSE DE OFICIO 5088/23.,,
OTRO,ACTA DEL TRIBUNAL VIRTUAL,,
OTRO,PROMOCIÓN,,
OTRO,INSTRUCTIVO DE TABLA DE AVISOS,,
OTRO,COMPARECENCIA,,
OTRO,CONSTANCIA DE BOLETIN,,
OTRO,ACUSE DE RECIBIDO,,
OTRO,CONSTANCIAS DE DEVOLUCION DE DOCUMENTROS.,,
OTRO,INTRUCTIVO POR TABLA,,
OTRO,SE APERSONA/ASUME COMPETENCIA,,
OTRO,TABLA FECHA REMATE,,
OTRO,NOTIFICACION POR Y TABLA DE AVISOS,,
OTRO,NOTIFICACION POR TABLA DE AVISOS,,
OTRO,ACUSE,,
OTRO,DEVOLUCION DE CERTIFICADO DE DEPOSITO E IDENTIFICACION,,
OTRO,EDICTO PUBL,,
OTRO,PUBLIC EDICTO,,
OTRO,CONSTANCIA DE PUBLICACION DE EDICTOS,,
OTRO,RATIFICACION DE ESCIRTO,,
OTRO,ACUSE EDICTO,,
OTRO,RATIFICACIÓN,,
OTRO,AUTORIZACIÓN TRIBUNAL VIRTUAL,,
OTRO,IDENTIFICACIONES,,
OTRO,PUBLICACIÓN DE EDICTOS,,
OTRO,CONSTANCIA ENTREGA DE EDICTOS,,
OTRO,CONSTANCIA DE ENTREGA DE COPIAS CERTIFICADAS,,
OTRO,DOCUMENTO ACUSE DE RECIBO,,
OTRO,ACUSE INFORME JUSTIFICADO,,
OTRO,INSTRUCTIVO POR LISTA,,
OTRO,EMPLAZA TERCERO INTERESADO,,
OTRO,DEMANDA DE AMPARO CERTIFICADA,,
OTRO,OFICIO,,
OTRO,DEVOLUCION DE BILLETE DE DEPOSITO,,
OTRO,COPIAS CERTIFICADAS,,
OTRO,ACTA DE AUDIENCIA,,
OTRO,CONSTANCIA DE OFICIO,,
OTRO,CONSTANCIA TRIBUNAL VIRTUAL,,
OTRO,DOS INSTRUCTIVOS POR TABLA DE AVISOS,,
OTRO,ACUSE DE RECEPCION DE OFICIO 1187/2023,,
OTRO,CERTIFICACION DE CONSTANCIAS PARA APELACIÓN.,,
OTRO,CORREO SGA ASIGNACIÓN DE APELACION,,
OTRO,ENTREGA DE OFICIO E ID,,
OTRO,PLEIGO DE POSICIONES A CARGO DEVICTOR IVAN VILLEDA MEJIA,,
OTRO,PLEIGO DE POSICIONES A CARGO DE MARIA DEL REFUGIO CASTRO JUAREZ,,
OTRO,SOBRE DE POSICIONES,,
OTRO,CERTIFICACION DE RATIFICACION DE CONVENIO (SOLO UN DEMANDADO),,
OTRO,ACTA AUDIENCIA,,
OTRO,OFICIO 2171/17,,
OTRO,ACUSE DE RECIBIDO OFICIO 2171/2017.,,
OTRO,PLIEGO DE POSICIONES Y CONSTANCIA DE AUDIENCIA,,
OTRO,ACUSE DE RECIBIDO OFICIO 2170/2017.,,
OTRO,ACUSE DE RECIBIDO DE OFICIO 2172/17.,,
OTRO,OFICIO 2170/17.,,
OTRO,OFICIO 2172/17.,,
OTRO,SEGUNDA PUBLICACION,,
OTRO,PRIMERA PUBLICACIÓN,,
OTRO,POSICIONES,,
OTRO,DILIGENCIA ACTUARIAL,,
OTRO,SEGUNDO EDICTO.,,
OTRO,ASIGNACION DE SALA,,
OTRO,EDICTOS INSTRUCTIVO,,
OTRO,ACUSE INE,,
OTRO,OFI. TUR POR ACTUARIO,,
OTRO,INCOMPARECENCIA.,,
OTRO,PO TABLA DE AVISOS,,
OTRO,DEMANDA INICIAL,,
OTRO,OFICIO ACOMPAÑADO A ESCRITO DE ESTA MISMA FECHA,,
OTRO,PLIEGO,,
OTRO,ACUSE DE APELACION,,
OTRO,AUDIENCIA DE PRUEBAS Y ALEGATOS,,
OTRO,ACTA,,
OTRO,RECEPCIÓN DE APELACIÓN,,
OTRO,EDCITO TABLA,,
OTRO,OR TABLA DE AVISOS,,
OTRO,TRASLADOS,,
OTRO,INSTRUCTIVO TABLA DE AVISOS-PARTE DEMANDADA,,
OTRO,SOBRE-PLIEGO DE POSICIONES A CARGO DEL CODEMANDADO,,
OTRO,SOBRE-PLIEGO DE POSICIONES A CARGO DE LA CODEMANDADA,,
OTRO,INSTRUCTIVO POR TABLA DE AVISOS-PARTE DEMANDADA,,
OTRO,ACUSE DEL OFICIO NUMERO 1749/2023,,
OTRO,ACUSE DE OFICIO 960/2023,,
OTRO,CONSTANCIA TROBUNAL VIRTUAL,,
OTRO,POR TABLA  DE AVISOS,,
OTRO,ACUSE DE OFICIO.,,
OTRO,ACUSE UMC,,
OTRO,CONSTANCIA,,
OTRO,ACUSE DE OFICIO DE INE,,
OTRO,CERTIFICACION.,,
OTRO,POR TABLA DE AVISO,,
OTRO,CONSTANCIA E IDENTIFICACIÓN,,
OTRO,ACTA T.V.,,
OTRO,SE ENTREGA EDICTO 99818,,
OTRO,POR TABLA AVISOS,,
OTRO,ACUSE DE OFICIO 2/2019.,,
OTRO,INSTRUCTIVO POR TABL,,
OTRO,INSTRUCTIVO  POR TABLA,,
OTRO,CONSTANCIAS DE ENTREGA,,
OTRO,CEDUILA PROFESIONAL.,,
OTRO,NOTIFCACION POR TABLA,,
OTRO,CONSCONSTANCIAS DE DEVOLUCION DE DOCUMENTOS,,
OTRO,SEGUNDA PUBLICACION DE EDICTO,,
OTRO,PRIMERA PUBLICACION DE EDICTO,,
OTRO,INSTRUCTVIO POR TABLA,,
OTRO,SUSPENDE AUDIENCIA,,
OTRO,DEVOLUCION DE DOCUMENTOS,,
OTRO,EDICTOS E IDENTIFICACION,,
OTRO,CONSTANCIA DE TRIBUNAL VIRTUAL,,
OTRO,PRIMERA PUBLICACION,,
OTRO,ACTA ATUROIZACION T.V.,,
OTRO,ASUME COMPETENCIA,,
OTRO,ACUSE DE RECIBIDO DE EDICTO,,
OTRO,ACTA TRIBUNAL VRITUAL,,
OTRO,INSTEUCTIVO POR TABLA,,
OTRO,ENTREGA DE DOCUMENTO DE VALOR,,
OTRO,"ACUSE DE OFICIO 2182/2019, AL C SEC. DE FINANZAS Y TESORERO GENERAL  DEL EDO. DE NL.",,
OTRO,ACUSE DE ENTREGA DE COPIAS CERTIFICADAS,,
OTROS,SE RESERVA,,
PROMOCION,SEÑALA DOMCILIO,,
PROMOCION,SEÑALA NUEVO DOMICILIO,,
PROMOCION,RECONOZCA PERSONALIDAD,,
PROMOCION,INCIDENTE,,
PROMOCION,ACREDITA PERSONALIDAD,,
PROMOCION,REMATE,,
PROMOCION,AUTORIZA,,
PROMOCION,SE GIRE OFICIO,,
PROMOCION,EJECUTORIADA LA SENTENCIA,,
PROMOCION,EXHORTO 21/2019,,
PROMOCION,PAGO LLANA,,
PROMOCION,PROMOCIÓN OFICIO ELECTRÓNICO DE DEPENDENCIA.,,
PROMOCION,MANIFESTACIONES,,
PROMOCION,GIRE  OFICIO,,
PROMOCION,"SE DECLARE QUE HA CAUSADO EJECUTORIA, SE PREVENGA A LOS DEMANDADOS",,
PROMOCION,SE TENGA A DEMANDADA CONTESTANDO EN SENTIDO NEGATIVO,,
PROMOCION,ALLEGA  OFICIOS,,
PROMOCION,SE DICTE SENTENCIA DEFINITIVA,,
PROMOCION,SE RECONOSCA PERSONALIDAD,,
PROMOCION,SE GIRE OFICIO DE NUEVA CUENTA,,
PROMOCION,GIRE OFICIO,,
